Expected value: 2148.375
Variance: 1074.1875
Standard deviation: 32.774799770555425

Mean absolute error: 32225.0864
Mean relative error: 93.75%
Mean accuracy ratio: 1.00%

Smallest counter value: 1998
Largest counter value: 2321

Mean counter value: 2148.9136
Mean absolute deviation: 35.65207648
Standard deviation: 44.778324388480634
Maximum deviation: 172.08640000000014
Variance: 2005.0983350399997

Mean Counter Values per Word:
Word : Counter Value : Expected Value
ultima          : 0.82          : 0.81
chorar          : 0.82          : 0.81
longo           : 0.82          : 0.81
extrema         : 0.82          : 0.81
continuou       : 0.82          : 0.81
estavamos       : 0.82          : 0.81
fazendo         : 0.81          : 0.81
contar          : 0.81          : 0.81
levemente       : 0.81          : 0.81
liberdade       : 0.81          : 0.81
chapeu          : 0.81          : 0.81
figura          : 0.81          : 0.81
labios          : 0.81          : 0.81
hontem          : 0.81          : 0.81
deixou          : 0.81          : 0.81
v               : 0.81          : 0.81
graça           : 0.81          : 0.81
voltando        : 0.81          : 0.81
bordo           : 0.81          : 0.81
linhas          : 0.81          : 0.81
s               : 0.80          : 0.81
passeio         : 0.80          : 0.81
caiu            : 0.80          : 0.81
dei             : 0.80          : 0.81
vago            : 0.79          : 0.81
bandeira        : 0.77          : 0.75
perguntou       : 0.77          : 0.75
morro           : 0.77          : 0.75
apesar          : 0.76          : 0.75
stores          : 0.76          : 0.75
ficado          : 0.76          : 0.75
descobrir       : 0.76          : 0.75
vejo            : 0.76          : 0.75
começou         : 0.76          : 0.75
alegre          : 0.75          : 0.75
momentos        : 0.75          : 0.75
pôr             : 0.75          : 0.75
libras          : 0.75          : 0.75
passado         : 0.75          : 0.75
suave           : 0.75          : 0.75
portugal        : 0.75          : 0.75
serenidade      : 0.75          : 0.75
perguntei       : 0.75          : 0.75
letra           : 0.75          : 0.75
encanto         : 0.75          : 0.75
ideal           : 0.75          : 0.75
vista           : 0.75          : 0.75
canto           : 0.75          : 0.75
tomado          : 0.75          : 0.75
centro          : 0.75          : 0.75
testa           : 0.75          : 0.75
the             : 0.75          : 0.75
tinhamos        : 0.75          : 0.75
peço            : 0.75          : 0.75
gente           : 0.75          : 0.75
digo            : 0.75          : 0.75
quaes           : 0.75          : 0.75
coberto         : 0.74          : 0.75
fiz             : 0.74          : 0.75
torno           : 0.74          : 0.75
atravez         : 0.74          : 0.75
ficar           : 0.74          : 0.75
filhos          : 0.74          : 0.75
pallido         : 0.74          : 0.75
velho           : 0.74          : 0.75
passo           : 0.74          : 0.75
w               : 0.74          : 0.75
matei           : 0.74          : 0.75
gravata         : 0.74          : 0.75
cidade          : 0.74          : 0.75
acho            : 0.74          : 0.75
tomando         : 0.74          : 0.75
brancos         : 0.73          : 0.75
sonho           : 0.71          : 0.69
fradique        : 0.70          : 0.69
curiosidade     : 0.70          : 0.69
criado          : 0.70          : 0.69
senão           : 0.70          : 0.69
largo           : 0.70          : 0.69
vontade         : 0.70          : 0.69
longa           : 0.70          : 0.69
moço            : 0.70          : 0.69
parede          : 0.70          : 0.69
acção           : 0.70          : 0.69
cerebro         : 0.70          : 0.69
alli            : 0.70          : 0.69
calcuttá        : 0.70          : 0.69
finalmente      : 0.70          : 0.69
gibraltar       : 0.70          : 0.69
cheia           : 0.70          : 0.69
clarence        : 0.70          : 0.69
campo           : 0.69          : 0.69
impassivel      : 0.69          : 0.69
voltou          : 0.69          : 0.69
roda            : 0.69          : 0.69
interesse       : 0.69          : 0.69
ellas           : 0.69          : 0.69
quantas         : 0.69          : 0.69
entanto         : 0.69          : 0.69
todavia         : 0.69          : 0.69
logica          : 0.69          : 0.69
relogio         : 0.69          : 0.69
publico         : 0.69          : 0.69
olhou           : 0.69          : 0.69
clara           : 0.69          : 0.69
sr              : 0.69          : 0.69
lembrança       : 0.69          : 0.69
vestidos        : 0.69          : 0.69
bater           : 0.69          : 0.69
desgraça        : 0.69          : 0.69
teria           : 0.69          : 0.69
album           : 0.69          : 0.69
intimo          : 0.69          : 0.69
flores          : 0.69          : 0.69
exaltação       : 0.69          : 0.69
espaço          : 0.69          : 0.69
ouvir           : 0.68          : 0.69
parou           : 0.68          : 0.69
sentimento      : 0.68          : 0.69
perante         : 0.68          : 0.69
aquillo         : 0.68          : 0.69
ti              : 0.68          : 0.69
causa           : 0.68          : 0.69
preto           : 0.68          : 0.69
dedos           : 0.68          : 0.69
sensação        : 0.68          : 0.69
relações        : 0.68          : 0.69
carteira        : 0.68          : 0.69
tapete          : 0.68          : 0.69
encontrar       : 0.68          : 0.69
hei             : 0.68          : 0.69
especie         : 0.68          : 0.69
sentado         : 0.68          : 0.69
setim           : 0.68          : 0.69
shorn           : 0.68          : 0.69
juro            : 0.68          : 0.69
corri           : 0.68          : 0.69
coberta         : 0.68          : 0.69
flôres          : 0.68          : 0.69
conhecia        : 0.68          : 0.69
violentamente   : 0.67          : 0.69
desgraçado      : 0.67          : 0.69
pude            : 0.67          : 0.69
quartos         : 0.67          : 0.69
bilhete         : 0.67          : 0.69
lapis           : 0.64          : 0.62
almoço          : 0.64          : 0.62
aberta          : 0.64          : 0.62
tristeza        : 0.64          : 0.62
ramo            : 0.64          : 0.62
accrescentou    : 0.64          : 0.62
larga           : 0.64          : 0.62
tribuna         : 0.64          : 0.62
allemão         : 0.64          : 0.62
cheguei         : 0.63          : 0.62
circumstancias  : 0.63          : 0.62
gritei          : 0.63          : 0.62
lua             : 0.63          : 0.62
approximou      : 0.63          : 0.62
perdido         : 0.63          : 0.62
passava         : 0.63          : 0.62
cumplice        : 0.63          : 0.62
feito           : 0.63          : 0.62
fria            : 0.63          : 0.62
tomar           : 0.63          : 0.62
dado            : 0.63          : 0.62
velas           : 0.63          : 0.62
fórma           : 0.63          : 0.62
deante          : 0.63          : 0.62
rewolver        : 0.63          : 0.62
padre           : 0.63          : 0.62
fica            : 0.63          : 0.62
machinalmente   : 0.63          : 0.62
sorrindo        : 0.63          : 0.62
pagina          : 0.63          : 0.62
diziam          : 0.63          : 0.62
paixões         : 0.63          : 0.62
idéa            : 0.63          : 0.62
z               : 0.63          : 0.62
altiva          : 0.63          : 0.62
vagamente       : 0.62          : 0.62
mortos          : 0.62          : 0.62
capa            : 0.62          : 0.62
gozzo           : 0.62          : 0.62
falla           : 0.62          : 0.62
distancia       : 0.62          : 0.62
comsigo         : 0.62          : 0.62
extranha        : 0.62          : 0.62
dignidade       : 0.62          : 0.62
depressa        : 0.62          : 0.62
corda           : 0.62          : 0.62
viver           : 0.62          : 0.62
pesado          : 0.62          : 0.62
davam           : 0.62          : 0.62
correu          : 0.62          : 0.62
viu             : 0.62          : 0.62
sair            : 0.62          : 0.62
ferro           : 0.62          : 0.62
vivo            : 0.62          : 0.62
andar           : 0.62          : 0.62
escripta        : 0.62          : 0.62
profunda        : 0.62          : 0.62
entrava         : 0.62          : 0.62
animal          : 0.62          : 0.62
acompanhava     : 0.62          : 0.62
encontrado      : 0.62          : 0.62
brancas         : 0.62          : 0.62
chá             : 0.62          : 0.62
declaração      : 0.62          : 0.62
mr              : 0.61          : 0.62
veio            : 0.61          : 0.62
cair            : 0.61          : 0.62
aroma           : 0.61          : 0.62
coisas          : 0.61          : 0.62
dê              : 0.61          : 0.62
punch           : 0.59          : 0.56
peso            : 0.58          : 0.56
attenção        : 0.58          : 0.56
calou           : 0.58          : 0.56
of              : 0.58          : 0.56
diario          : 0.57          : 0.56
hispanhola      : 0.57          : 0.56
servia          : 0.57          : 0.56
estendido       : 0.57          : 0.56
tiro            : 0.57          : 0.56
seguro          : 0.57          : 0.56
individuo       : 0.57          : 0.56
deixando        : 0.57          : 0.56
impossivel      : 0.57          : 0.56
levava          : 0.57          : 0.56
pelle           : 0.57          : 0.56
chegar          : 0.57          : 0.56
fatal           : 0.57          : 0.56
moral           : 0.57          : 0.56
salvar          : 0.57          : 0.56
facil           : 0.57          : 0.56
horror          : 0.57          : 0.56
febre           : 0.57          : 0.56
madrugada       : 0.57          : 0.56
versos          : 0.57          : 0.56
manta           : 0.57          : 0.56
companheiros    : 0.57          : 0.56
feição          : 0.57          : 0.56
costas          : 0.56          : 0.56
ouviam          : 0.56          : 0.56
hia             : 0.56          : 0.56
louro           : 0.56          : 0.56
vês             : 0.56          : 0.56
vestida         : 0.56          : 0.56
subiu           : 0.56          : 0.56
negro           : 0.56          : 0.56
estrellas       : 0.56          : 0.56
fugir           : 0.56          : 0.56
imaginação      : 0.56          : 0.56
devo            : 0.56          : 0.56
pensei          : 0.56          : 0.56
arte            : 0.56          : 0.56
vê              : 0.56          : 0.56
luva            : 0.56          : 0.56
alcova          : 0.56          : 0.56
notas           : 0.56          : 0.56
i               : 0.56          : 0.56
inteiramente    : 0.56          : 0.56
successivamente : 0.56          : 0.56
terraço         : 0.56          : 0.56
altivo          : 0.56          : 0.56
saudade         : 0.56          : 0.56
precisa         : 0.56          : 0.56
direito         : 0.56          : 0.56
cova            : 0.56          : 0.56
creança         : 0.56          : 0.56
livre           : 0.56          : 0.56
pertence        : 0.56          : 0.56
commoção        : 0.56          : 0.56
signal          : 0.56          : 0.56
tremia          : 0.56          : 0.56
morreu          : 0.56          : 0.56
francez         : 0.56          : 0.56
original        : 0.56          : 0.56
perny           : 0.56          : 0.56
saiu            : 0.56          : 0.56
arabe           : 0.56          : 0.56
paiz            : 0.56          : 0.56
bocca           : 0.56          : 0.56
jornal          : 0.55          : 0.56
pavilhão        : 0.55          : 0.56
collocado       : 0.55          : 0.56
lucta           : 0.55          : 0.56
vir             : 0.55          : 0.56
instante        : 0.55          : 0.56
noites          : 0.55          : 0.56
interior        : 0.55          : 0.56
rasão           : 0.55          : 0.56
montanhas       : 0.55          : 0.56
desapparecimento : 0.55          : 0.56
vaga            : 0.55          : 0.56
travesseiro     : 0.55          : 0.56
escuras         : 0.55          : 0.56
sentir          : 0.52          : 0.50
passagem        : 0.52          : 0.50
claridade       : 0.52          : 0.50
tomei           : 0.52          : 0.50
hip             : 0.51          : 0.50
senhoras        : 0.51          : 0.50
sentindo        : 0.51          : 0.50
violencia       : 0.51          : 0.50
abrir           : 0.51          : 0.50
rapido          : 0.51          : 0.50
sentimentos     : 0.51          : 0.50
rei             : 0.51          : 0.50
viera           : 0.51          : 0.50
factos          : 0.51          : 0.50
conheço         : 0.51          : 0.50
importa         : 0.51          : 0.50
abri            : 0.51          : 0.50
desejo          : 0.51          : 0.50
periodico       : 0.51          : 0.50
humana          : 0.51          : 0.50
hombros         : 0.51          : 0.50
piano           : 0.51          : 0.50
comprehender    : 0.51          : 0.50
feita           : 0.51          : 0.50
comecei         : 0.51          : 0.50
socego          : 0.51          : 0.50
cortinas        : 0.51          : 0.50
companhia       : 0.51          : 0.50
tedio           : 0.51          : 0.50
doente          : 0.51          : 0.50
invenção        : 0.51          : 0.50
mysterioso      : 0.51          : 0.50
posto           : 0.51          : 0.50
dou             : 0.51          : 0.50
infamia         : 0.51          : 0.50
irmã            : 0.50          : 0.50
chamar          : 0.50          : 0.50
correr          : 0.50          : 0.50
armario         : 0.50          : 0.50
movimentos      : 0.50          : 0.50
claro           : 0.50          : 0.50
approximar      : 0.50          : 0.50
chegou          : 0.50          : 0.50
esperança       : 0.50          : 0.50
infinito        : 0.50          : 0.50
filho           : 0.50          : 0.50
pediu           : 0.50          : 0.50
renda           : 0.50          : 0.50
necessidade     : 0.50          : 0.50
vapor           : 0.50          : 0.50
doces           : 0.50          : 0.50
continuava      : 0.50          : 0.50
encontrei       : 0.50          : 0.50
partimos        : 0.50          : 0.50
deitado         : 0.50          : 0.50
felicidade      : 0.50          : 0.50
approximei      : 0.50          : 0.50
fallou          : 0.50          : 0.50
successo        : 0.50          : 0.50
arvores         : 0.50          : 0.50
fizeram         : 0.50          : 0.50
matar           : 0.50          : 0.50
leito           : 0.50          : 0.50
dirigi          : 0.50          : 0.50
pensava         : 0.50          : 0.50
chamei          : 0.50          : 0.50
entrada         : 0.50          : 0.50
narrativa       : 0.50          : 0.50
antigo          : 0.50          : 0.50
flôr            : 0.50          : 0.50
dando           : 0.50          : 0.50
tirei           : 0.50          : 0.50
adoravel        : 0.50          : 0.50
amurada         : 0.50          : 0.50
sorria          : 0.50          : 0.50
inexplicavel    : 0.50          : 0.50
verdadeiramente : 0.50          : 0.50
sentei          : 0.50          : 0.50
singular        : 0.50          : 0.50
perfume         : 0.50          : 0.50
escrevia        : 0.50          : 0.50
cheiro          : 0.50          : 0.50
enorme          : 0.50          : 0.50
certas          : 0.50          : 0.50
ficara          : 0.50          : 0.50
justo           : 0.50          : 0.50
intimas         : 0.50          : 0.50
cabo            : 0.50          : 0.50
tocar           : 0.50          : 0.50
chavena         : 0.50          : 0.50
imagem          : 0.50          : 0.50
haver           : 0.50          : 0.50
sombras         : 0.50          : 0.50
eis             : 0.50          : 0.50
perdão          : 0.50          : 0.50
corôa           : 0.50          : 0.50
soluços         : 0.50          : 0.50
espelho         : 0.50          : 0.50
la              : 0.50          : 0.50
yacht           : 0.50          : 0.50
coragem         : 0.50          : 0.50
acabou          : 0.50          : 0.50
puro            : 0.49          : 0.50
respondi        : 0.49          : 0.50
faça            : 0.49          : 0.50
corredor        : 0.49          : 0.50
jogo            : 0.49          : 0.50
justiça         : 0.49          : 0.50
logares         : 0.49          : 0.50
pura            : 0.49          : 0.50
achei           : 0.49          : 0.50
simplicidade    : 0.49          : 0.50
visinho         : 0.49          : 0.50
repetiu         : 0.49          : 0.50
dinheiro        : 0.49          : 0.50
primeiros       : 0.49          : 0.50
casaca          : 0.49          : 0.50
velhas          : 0.49          : 0.50
punhal          : 0.49          : 0.50
levantar        : 0.49          : 0.50
maneira         : 0.49          : 0.50
podesse         : 0.49          : 0.50
absolutamente   : 0.49          : 0.50
procurar        : 0.49          : 0.50
traição         : 0.49          : 0.50
horrivel        : 0.49          : 0.50
bello           : 0.49          : 0.50
chamava         : 0.49          : 0.50
machina         : 0.48          : 0.50
memoria         : 0.48          : 0.50
ficára          : 0.48          : 0.50
aguas           : 0.48          : 0.50
derradeira      : 0.45          : 0.44
comprehendo     : 0.45          : 0.44
facto           : 0.45          : 0.44
estreito        : 0.45          : 0.44
intima          : 0.45          : 0.44
rumor           : 0.45          : 0.44
envolvia        : 0.45          : 0.44
venho           : 0.45          : 0.44
baile           : 0.45          : 0.44
malaios         : 0.45          : 0.44
escura          : 0.44          : 0.44
bravo           : 0.44          : 0.44
palanquim       : 0.44          : 0.44
dormia          : 0.44          : 0.44
soube           : 0.44          : 0.44
galope          : 0.44          : 0.44
fechada         : 0.44          : 0.44
astucia         : 0.44          : 0.44
erguendo        : 0.44          : 0.44
tumulo          : 0.44          : 0.44
calor           : 0.44          : 0.44
echo            : 0.44          : 0.44
escuro          : 0.44          : 0.44
sincera         : 0.44          : 0.44
trabalho        : 0.44          : 0.44
eterna          : 0.44          : 0.44
cordagens       : 0.44          : 0.44
fera            : 0.44          : 0.44
edição          : 0.44          : 0.44
conta           : 0.44          : 0.44
musica          : 0.44          : 0.44
sepultura       : 0.44          : 0.44
bondade         : 0.44          : 0.44
trivial         : 0.44          : 0.44
perfeitamente   : 0.44          : 0.44
ruas            : 0.44          : 0.44
esperando       : 0.44          : 0.44
