Expected value: 620.9375
Variance: 310.46875
Standard deviation: 17.62012343884117

Mean absolute error: 9314.3868
Mean relative error: 93.75%
Mean accuracy ratio: 1.00%

Smallest counter value: 532
Largest counter value: 718

Mean counter value: 620.6132
Mean absolute deviation: 19.2014924
Standard deviation: 24.136233876891396
Maximum deviation: 97.3868
Variance: 582.5577857599999

Mean Counter Values per Word:
Word : Counter Value : Expected Value
carcelero       : 0.19          : 0.19
venís           : 0.18          : 0.19
busca           : 0.18          : 0.19
malo            : 0.18          : 0.19
triunfo         : 0.18          : 0.19
pan             : 0.18          : 0.19
soldados        : 0.18          : 0.19
preciós         : 0.18          : 0.19
arrodilla       : 0.18          : 0.19
escuchad        : 0.18          : 0.19
manlléu         : 0.18          : 0.19
mentira         : 0.18          : 0.19
bandera         : 0.18          : 0.19
peto            : 0.18          : 0.19
aldoz           : 0.18          : 0.19
escuderos       : 0.18          : 0.19
nota            : 0.18          : 0.19
incorporándose  : 0.18          : 0.19
srta            : 0.18          : 0.19
viva            : 0.18          : 0.19
verla           : 0.18          : 0.19
buscan          : 0.18          : 0.19
horrorizada     : 0.18          : 0.19
azorado         : 0.18          : 0.19
bardo           : 0.18          : 0.19
siguen          : 0.18          : 0.19
privada         : 0.18          : 0.19
par             : 0.18          : 0.19
amadeo          : 0.18          : 0.19
unión           : 0.18          : 0.19
peregrino       : 0.18          : 0.19
huir            : 0.18          : 0.19
furioso         : 0.18          : 0.19
mar             : 0.18          : 0.19
pasad           : 0.18          : 0.19
libro           : 0.18          : 0.19
mente           : 0.18          : 0.19
personajes      : 0.18          : 0.19
vello           : 0.18          : 0.19
verdugo         : 0.18          : 0.19
maría           : 0.18          : 0.19
aguardo         : 0.18          : 0.19
hubiera         : 0.18          : 0.19
dramática       : 0.18          : 0.19
fiel            : 0.18          : 0.19
estrella        : 0.18          : 0.19
siguientes      : 0.18          : 0.19
taboada         : 0.18          : 0.19
perdida         : 0.18          : 0.19
gritando        : 0.18          : 0.19
bello           : 0.18          : 0.19
real            : 0.18          : 0.19
barba           : 0.18          : 0.19
velada          : 0.18          : 0.19
puro            : 0.18          : 0.19
dando           : 0.18          : 0.19
divididos       : 0.18          : 0.19
hacéis          : 0.18          : 0.19
amante          : 0.18          : 0.19
arbustos        : 0.13          : 0.12
luche           : 0.13          : 0.12
traidora        : 0.13          : 0.12
macizo          : 0.13          : 0.12
aldea           : 0.13          : 0.12
emboza          : 0.13          : 0.12
querido         : 0.13          : 0.12
arroyuelo       : 0.13          : 0.12
perdón          : 0.13          : 0.12
delatalla       : 0.13          : 0.12
escuchéla       : 0.13          : 0.12
matarme         : 0.13          : 0.12
flórez          : 0.13          : 0.12
irás            : 0.13          : 0.12
muebles         : 0.13          : 0.12
acecha          : 0.13          : 0.12
abomina         : 0.13          : 0.12
pulida          : 0.13          : 0.12
santos          : 0.13          : 0.12
autores         : 0.13          : 0.12
pétalos         : 0.13          : 0.12
verá            : 0.13          : 0.12
entregó         : 0.13          : 0.12
sienta          : 0.13          : 0.12
diera           : 0.13          : 0.12
veo             : 0.13          : 0.12
sabrás          : 0.13          : 0.12
pinchazo        : 0.13          : 0.12
musiquilla      : 0.13          : 0.12
carece          : 0.13          : 0.12
luces           : 0.13          : 0.12
cuerda          : 0.13          : 0.12
señala          : 0.13          : 0.12
mejores         : 0.13          : 0.12
eché            : 0.13          : 0.12
acabemos        : 0.13          : 0.12
hará            : 0.13          : 0.12
barreras        : 0.13          : 0.12
castellano      : 0.13          : 0.12
gato            : 0.13          : 0.12
tapado          : 0.13          : 0.12
subí            : 0.13          : 0.12
debes           : 0.13          : 0.12
taco            : 0.13          : 0.12
amado           : 0.13          : 0.12
llegan          : 0.13          : 0.12
dejándose       : 0.13          : 0.12
pensó           : 0.13          : 0.12
castigar        : 0.13          : 0.12
subir           : 0.13          : 0.12
albor           : 0.13          : 0.12
rendidamente    : 0.13          : 0.12
miguel          : 0.13          : 0.12
distraiga       : 0.13          : 0.12
armar           : 0.13          : 0.12
arrojó          : 0.13          : 0.12
esquilón        : 0.13          : 0.12
jornadas        : 0.13          : 0.12
