Expected value: 1724.375
Variance: 862.1875
Standard deviation: 29.363029475856198

Mean absolute error: 32.46
Mean relative error: 1.88%
Mean accuracy ratio: 98.12%

Smallest counter value: 1619
Largest counter value: 1842

Mean counter value: 1723.81
Mean absolute deviation: 32.41479999999999
Standard deviation: 41.5980035578632
Maximum deviation: 118.19000000000005
Variance: 1730.3938999999998

Mean Counter Values per Word:
Word : Counter Value : Expected Value
enganos         : 0.61          : 0.56
multidão        : 0.61          : 0.56
juízo           : 0.60          : 0.62
estavam         : 0.60          : 0.75
pretende        : 0.60          : 0.62
ódio            : 0.60          : 0.50
conde           : 0.60          : 0.50
lanças          : 0.60          : 0.69
ninho           : 0.60          : 0.56
regimento       : 0.60          : 0.56
defesa          : 0.60          : 0.62
fraco           : 0.60          : 0.75
companheiros    : 0.60          : 0.62
malabar         : 0.60          : 0.50
vá              : 0.59          : 0.56
usança          : 0.59          : 0.50
fazenda         : 0.59          : 0.69
preço           : 0.59          : 0.75
vede            : 0.59          : 0.56
torpe           : 0.59          : 0.62
lava            : 0.59          : 0.56
jeito           : 0.59          : 0.62
farão           : 0.59          : 0.50
fonte           : 0.58          : 0.50
angélica        : 0.58          : 0.50
olimpo          : 0.58          : 0.56
vedes           : 0.58          : 0.69
consente        : 0.58          : 0.56
excelentes      : 0.58          : 0.56
brando          : 0.58          : 0.69
preso           : 0.58          : 0.62
possantes       : 0.58          : 0.62
nuno            : 0.58          : 0.56
amado           : 0.58          : 0.56
abrindo         : 0.58          : 0.56
sabia           : 0.58          : 0.50
natural         : 0.58          : 0.50
estranho        : 0.58          : 0.56
verde           : 0.58          : 0.56
lisboa          : 0.58          : 0.50
verdadeiro      : 0.57          : 0.75
serviço         : 0.57          : 0.56
fina            : 0.57          : 0.50
tomada          : 0.57          : 0.62
mostrar         : 0.57          : 0.56
mostras         : 0.57          : 0.56
mando           : 0.57          : 0.50
pedras          : 0.57          : 0.50
membros         : 0.57          : 0.56
vencido         : 0.57          : 0.69
sejam           : 0.56          : 0.56
inimiga         : 0.56          : 0.62
mandado         : 0.56          : 0.50
próprios        : 0.56          : 0.50
europa          : 0.56          : 0.56
verás           : 0.56          : 0.62
roxo            : 0.56          : 0.56
espaço          : 0.56          : 0.56
levava          : 0.56          : 0.62
cara            : 0.56          : 0.62
negra           : 0.56          : 0.62
nomes           : 0.56          : 0.50
igual           : 0.56          : 0.50
passado         : 0.56          : 0.56
mostrava        : 0.56          : 0.50
lago            : 0.56          : 0.62
barra           : 0.56          : 0.44
pintura         : 0.56          : 0.50
carne           : 0.56          : 0.56
viva            : 0.56          : 0.56
havia           : 0.55          : 0.56
resistência     : 0.55          : 0.62
mortes          : 0.55          : 0.50
partia          : 0.55          : 0.50
portuguesa      : 0.55          : 0.75
fraca           : 0.55          : 0.56
amizade         : 0.55          : 0.56
areia           : 0.55          : 0.50
história        : 0.55          : 0.44
cercado         : 0.55          : 0.62
rosas           : 0.55          : 0.44
sai             : 0.55          : 0.50
deixava         : 0.54          : 0.50
mestre          : 0.54          : 0.56
dava            : 0.54          : 0.56
remédio         : 0.54          : 0.56
ramo            : 0.54          : 0.56
ajuntamento     : 0.54          : 0.56
contrário       : 0.54          : 0.50
tenha           : 0.54          : 0.50
gosto           : 0.54          : 0.56
dali            : 0.54          : 0.56
louvor          : 0.54          : 0.56
paços           : 0.54          : 0.69
vã              : 0.53          : 0.50
real            : 0.53          : 0.44
filhas          : 0.53          : 0.50
doutra          : 0.53          : 0.56
naturais        : 0.53          : 0.69
vidas           : 0.53          : 0.62
catual          : 0.53          : 0.69
pedra           : 0.53          : 0.44
ásperos         : 0.53          : 0.56
queres          : 0.53          : 0.50
possa           : 0.53          : 0.62
danos           : 0.53          : 0.56
vejo            : 0.53          : 0.56
posta           : 0.53          : 0.56
formosas        : 0.53          : 0.56
trato           : 0.53          : 0.56
honra           : 0.52          : 0.56
vencidos        : 0.52          : 0.50
desce           : 0.52          : 0.44
licor           : 0.52          : 0.50
espírito        : 0.52          : 0.56
mensageiro      : 0.52          : 0.56
hão             : 0.52          : 0.50
soberana        : 0.52          : 0.50
entranhas       : 0.52          : 0.44
culpa           : 0.52          : 0.56
samorim         : 0.52          : 0.62
remota          : 0.52          : 0.56
fortaleza       : 0.52          : 0.56
contente        : 0.52          : 0.56
espanta         : 0.52          : 0.56
descobre        : 0.52          : 0.50
verá            : 0.52          : 0.56
golpes          : 0.52          : 0.50
lusitânia       : 0.52          : 0.38
dina            : 0.52          : 0.50
trouxe          : 0.52          : 0.50
companheiro     : 0.52          : 0.56
delas           : 0.51          : 0.56
fino            : 0.51          : 0.50
derradeiro      : 0.51          : 0.44
nuvens          : 0.51          : 0.44
flamas          : 0.51          : 0.44
passos          : 0.51          : 0.44
humanidade      : 0.51          : 0.38
ares            : 0.51          : 0.50
tornando        : 0.51          : 0.44
maura           : 0.51          : 0.56
templo          : 0.51          : 0.44
corações        : 0.51          : 0.50
direito         : 0.51          : 0.56
vestidos        : 0.51          : 0.44
carro           : 0.51          : 0.44
cristal         : 0.51          : 0.50
conta           : 0.51          : 0.56
nelas           : 0.51          : 0.50
tomé            : 0.51          : 0.50
bandeiras       : 0.50          : 0.56
rompendo        : 0.50          : 0.44
valia           : 0.50          : 0.50
valeroso        : 0.50          : 0.38
morre           : 0.50          : 0.44
mandava         : 0.50          : 0.56
cruel           : 0.50          : 0.62
sustenta        : 0.50          : 0.56
mau             : 0.50          : 0.44
branca          : 0.50          : 0.56
seta            : 0.50          : 0.38
cuida           : 0.50          : 0.50
brada           : 0.50          : 0.38
falsa           : 0.50          : 0.44
suma            : 0.50          : 0.50
nefando         : 0.50          : 0.44
justiça         : 0.50          : 0.50
morto           : 0.50          : 0.50
estoutro        : 0.50          : 0.44
alegremente     : 0.49          : 0.50
natura          : 0.49          : 0.62
regedor         : 0.49          : 0.44
pensamentos     : 0.49          : 0.44
fontes          : 0.49          : 0.44
louro           : 0.49          : 0.56
alevanta        : 0.49          : 0.44
vinham          : 0.49          : 0.56
salta           : 0.49          : 0.44
cabelos         : 0.49          : 0.56
diferentes      : 0.49          : 0.44
entra           : 0.49          : 0.75
batalha         : 0.49          : 0.62
alcança         : 0.49          : 0.56
rumor           : 0.49          : 0.44
respeito        : 0.49          : 0.56
antigamente     : 0.49          : 0.31
portas          : 0.49          : 0.50
ficava          : 0.48          : 0.56
estrela         : 0.48          : 0.50
vulto           : 0.48          : 0.31
parentes        : 0.48          : 0.50
ingente         : 0.48          : 0.44
duque           : 0.48          : 0.44
verso           : 0.48          : 0.38
pequenos        : 0.48          : 0.44
alegres         : 0.48          : 0.56
cuidado         : 0.48          : 0.50
diligente       : 0.48          : 0.56
súbita          : 0.48          : 0.44
sustentar       : 0.48          : 0.56
crua            : 0.48          : 0.50
nuvem           : 0.48          : 0.44
deixar          : 0.47          : 0.38
viagem          : 0.47          : 0.44
contenta        : 0.47          : 0.44
saltando        : 0.47          : 0.38
bandeira        : 0.47          : 0.50
atreve          : 0.47          : 0.38
sente           : 0.47          : 0.44
tornou          : 0.47          : 0.50
segredos        : 0.47          : 0.44
mente           : 0.47          : 0.44
levando         : 0.47          : 0.56
destas          : 0.47          : 0.38
batel           : 0.47          : 0.44
ouvindo         : 0.47          : 0.44
direi           : 0.47          : 0.44
engenhos        : 0.47          : 0.38
fio             : 0.47          : 0.38
soldados        : 0.47          : 0.38
passaram        : 0.46          : 0.44
cuidava         : 0.46          : 0.50
falsidade       : 0.46          : 0.50
apercebido      : 0.46          : 0.38
movimento       : 0.46          : 0.44
singulares      : 0.46          : 0.44
tethys          : 0.46          : 0.44
moradores       : 0.46          : 0.50
bóreas          : 0.46          : 0.44
ricas           : 0.46          : 0.31
tornar          : 0.46          : 0.50
necessidade     : 0.46          : 0.44
falando         : 0.46          : 0.44
mi              : 0.46          : 0.44
tenção          : 0.45          : 0.50
peleja          : 0.45          : 0.50
cavalo          : 0.45          : 0.44
navegantes      : 0.45          : 0.44
daqueles        : 0.45          : 0.50
sonhos          : 0.45          : 0.38
caro            : 0.45          : 0.50
derrama         : 0.45          : 0.44
palmas          : 0.45          : 0.38
irmão           : 0.45          : 0.44
sul             : 0.45          : 0.38
enxerga         : 0.45          : 0.50
cantava         : 0.45          : 0.44
entende         : 0.44          : 0.50
enseada         : 0.44          : 0.44
matéria         : 0.44          : 0.44
faça            : 0.44          : 0.50
houve           : 0.44          : 0.38
batalhas        : 0.44          : 0.44
banha           : 0.44          : 0.38
busca           : 0.44          : 0.38
visto           : 0.44          : 0.44
mombaça         : 0.44          : 0.44
astuto          : 0.44          : 0.56
suspeita        : 0.44          : 0.38
aceso           : 0.44          : 0.44
trabalha        : 0.44          : 0.38
n               : 0.44          : 0.38
choro           : 0.44          : 0.44
nilo            : 0.44          : 0.50
metal           : 0.44          : 0.44
ossos           : 0.44          : 0.38
causas          : 0.43          : 0.38
doces           : 0.43          : 0.38
