Expected value: 1724.375
Variance: 862.1875
Standard deviation: 29.363029475856198

Mean absolute error: 32.06
Mean relative error: 1.86%
Mean accuracy ratio: 98.14%

Smallest counter value: 1581
Largest counter value: 1866

Mean counter value: 1723.511
Mean absolute deviation: 32.071802
Standard deviation: 40.05403698754971
Maximum deviation: 142.51099999999997
Variance: 1604.325879

Mean Counter Values per Word:
Word : Counter Value : Expected Value
vencedor        : 0.71          : 0.75
vencido         : 0.71          : 0.69
cristãos        : 0.71          : 0.69
pedro           : 0.71          : 0.69
fúria           : 0.70          : 0.75
estima          : 0.70          : 0.69
vi              : 0.70          : 0.69
paços           : 0.70          : 0.69
vedes           : 0.70          : 0.69
ajunta          : 0.69          : 0.69
fazenda         : 0.69          : 0.69
tamanho         : 0.69          : 0.69
aparece         : 0.69          : 0.69
verdadeira      : 0.69          : 0.62
descoberto      : 0.69          : 0.69
pequena         : 0.69          : 0.62
humanos         : 0.68          : 0.69
feros           : 0.68          : 0.69
brando          : 0.68          : 0.69
som             : 0.68          : 0.62
cavalos         : 0.68          : 0.69
natureza        : 0.68          : 0.69
dias            : 0.68          : 0.69
preso           : 0.68          : 0.62
leda            : 0.68          : 0.69
fado            : 0.68          : 0.69
chegado         : 0.68          : 0.69
coisas          : 0.68          : 0.69
foge            : 0.68          : 0.69
los             : 0.68          : 0.69
avante          : 0.68          : 0.62
fernando        : 0.68          : 0.69
lanças          : 0.67          : 0.69
feia            : 0.67          : 0.75
lago            : 0.67          : 0.62
passo           : 0.67          : 0.69
subido          : 0.67          : 0.69
pena            : 0.67          : 0.69
juízo           : 0.67          : 0.62
certa           : 0.67          : 0.62
jeito           : 0.67          : 0.62
povos           : 0.67          : 0.62
piedade         : 0.67          : 0.69
c               : 0.67          : 0.69
cousa           : 0.67          : 0.69
batalha         : 0.67          : 0.62
banda           : 0.67          : 0.69
excelente       : 0.66          : 0.69
apresenta       : 0.66          : 0.69
duros           : 0.66          : 0.69
nações          : 0.66          : 0.69
cria            : 0.66          : 0.62
naturais        : 0.66          : 0.69
negra           : 0.66          : 0.62
palma           : 0.66          : 0.69
assi            : 0.66          : 0.69
verás           : 0.66          : 0.62
veloso          : 0.66          : 0.62
ninguém         : 0.65          : 0.62
possantes       : 0.65          : 0.62
correndo        : 0.65          : 0.69
almas           : 0.65          : 0.62
resistência     : 0.65          : 0.62
ânimo           : 0.65          : 0.69
inimiga         : 0.65          : 0.62
tendo           : 0.65          : 0.62
mim             : 0.64          : 0.62
castigo         : 0.64          : 0.69
torpe           : 0.63          : 0.62
cos             : 0.63          : 0.62
cara            : 0.63          : 0.62
obedece         : 0.63          : 0.62
tomada          : 0.63          : 0.62
acompanhado     : 0.63          : 0.62
mandar          : 0.63          : 0.62
samorim         : 0.63          : 0.62
receio          : 0.63          : 0.62
recebe          : 0.63          : 0.62
justa           : 0.63          : 0.62
mantimento      : 0.63          : 0.62
