Expected value: 2523.75
Variance: 1261.875
Standard deviation: 35.5228799508148

Mean absolute error: 71.25
Mean relative error: 2.82%
Mean accuracy ratio: 97.18%

Smallest counter value: 2595
Largest counter value: 2595

Mean counter value: 2595.0
Mean absolute deviation: 0.0
Standard deviation: 0.0
Maximum deviation: 0.0
Variance: 0.0

Mean Counter Values per Word:
Word : Counter Value : Expected Value
duty            : 2.00          : 0.62
terrible        : 2.00          : 0.94
grizzled        : 2.00          : 0.38
disease         : 2.00          : 0.19
sank            : 2.00          : 0.38
club            : 2.00          : 0.50
horsham         : 2.00          : 0.62
foresight       : 2.00          : 0.38
page            : 2.00          : 0.56
undoubtedly     : 2.00          : 0.50
draught         : 2.00          : 0.19
neville         : 2.00          : 1.19
dream           : 2.00          : 0.38
article         : 2.00          : 0.25
museum          : 2.00          : 0.19
ladies          : 2.00          : 0.56
helen           : 2.00          : 0.25
stoner          : 2.00          : 1.19
obstacle        : 2.00          : 0.12
ventilator      : 2.00          : 0.88
causing         : 2.00          : 0.19
braced          : 2.00          : 0.12
eyford          : 2.00          : 0.56
simon           : 2.00          : 2.50
arthur          : 1.00          : 1.31
scandal         : 1.00          : 0.81
bohemia         : 1.00          : 0.75
league          : 1.00          : 1.06
pips            : 1.00          : 0.75
lip             : 1.00          : 0.75
adventure       : 1.00          : 1.19
blue            : 1.00          : 1.62
band            : 1.00          : 0.94
thumb           : 1.00          : 1.06
copper          : 1.00          : 0.81
seldom          : 1.00          : 0.38
eyes            : 1.00          : 5.44
irene           : 1.00          : 1.06
perfect         : 1.00          : 0.44
lover           : 1.00          : 0.44
placed          : 1.00          : 1.19
position        : 1.00          : 1.38
spoke           : 1.00          : 1.69
sneer           : 1.00          : 0.31
drawing         : 1.00          : 0.69
trained         : 1.00          : 0.25
finely          : 1.00          : 0.06
adjusted        : 1.00          : 0.12
temperament     : 1.00          : 0.06
results         : 1.00          : 0.75
power           : 1.00          : 0.81
complete        : 1.00          : 0.75
rise            : 1.00          : 0.31
master          : 1.00          : 0.88
establishment   : 1.00          : 0.06
baker           : 1.00          : 2.62
