Expected value: 841.625
Variance: 420.8125
Standard deviation: 20.513714924410937

Mean absolute error: 12624.2258
Mean relative error: 93.75%
Mean accuracy ratio: 1.00%

Smallest counter value: 744
Largest counter value: 957

Mean counter value: 841.7742
Mean absolute deviation: 22.23601288
Standard deviation: 27.871763746846018
Maximum deviation: 115.22580000000005
Variance: 776.83521436

Mean Counter Values per Word:
Word : Counter Value : Expected Value
birth           : 0.26          : 0.25
bare            : 0.26          : 0.25
swift           : 0.26          : 0.25
houses          : 0.26          : 0.25
lightning       : 0.26          : 0.25
cozen           : 0.26          : 0.25
flowers         : 0.26          : 0.25
abroad          : 0.26          : 0.25
worne           : 0.26          : 0.25
dance           : 0.26          : 0.25
lou             : 0.26          : 0.25
comming         : 0.26          : 0.25
doubt           : 0.26          : 0.25
griefes         : 0.26          : 0.25
count           : 0.26          : 0.25
pretty          : 0.26          : 0.25
moone           : 0.26          : 0.25
quickly         : 0.26          : 0.25
fathers         : 0.25          : 0.25
beg             : 0.25          : 0.25
shut            : 0.25          : 0.25
app             : 0.25          : 0.25
doest           : 0.25          : 0.25
spirit          : 0.25          : 0.25
warme           : 0.25          : 0.25
raise           : 0.25          : 0.25
blessed         : 0.25          : 0.25
fine            : 0.25          : 0.25
stands          : 0.25          : 0.25
seruing         : 0.25          : 0.25
weare           : 0.25          : 0.25
search          : 0.25          : 0.25
learne          : 0.25          : 0.25
hid             : 0.25          : 0.25
sake            : 0.25          : 0.25
weeping         : 0.25          : 0.25
louer           : 0.25          : 0.25
youle           : 0.25          : 0.25
wisedome        : 0.25          : 0.25
kinsmen         : 0.25          : 0.25
heire           : 0.25          : 0.25
forme           : 0.25          : 0.25
oft             : 0.25          : 0.25
steele          : 0.25          : 0.25
honour          : 0.25          : 0.25
needs           : 0.25          : 0.25
strew           : 0.25          : 0.25
torture         : 0.25          : 0.25
brest           : 0.25          : 0.25
wise            : 0.25          : 0.25
iu              : 0.25          : 0.25
company         : 0.25          : 0.25
drie            : 0.25          : 0.25
losse           : 0.25          : 0.25
guests          : 0.25          : 0.25
citizens        : 0.25          : 0.25
knaue           : 0.25          : 0.25
swords          : 0.25          : 0.25
ay              : 0.25          : 0.25
consort         : 0.25          : 0.25
hope            : 0.25          : 0.25
minute          : 0.25          : 0.25
women           : 0.25          : 0.25
supper          : 0.25          : 0.25
heele           : 0.25          : 0.25
breake          : 0.25          : 0.25
ran             : 0.25          : 0.25
nature          : 0.25          : 0.25
knowne          : 0.25          : 0.25
nightly         : 0.25          : 0.25
iule            : 0.25          : 0.25
knife           : 0.25          : 0.25
wombe           : 0.25          : 0.25
worke           : 0.25          : 0.25
precious        : 0.25          : 0.25
voice           : 0.25          : 0.25
speak           : 0.25          : 0.25
iuliets         : 0.25          : 0.25
vncle           : 0.25          : 0.25
foule           : 0.25          : 0.25
note            : 0.25          : 0.25
buried          : 0.25          : 0.25
enemie          : 0.25          : 0.25
worme           : 0.25          : 0.25
yea             : 0.25          : 0.25
l               : 0.25          : 0.25
veines          : 0.25          : 0.25
sunne           : 0.25          : 0.25
coniure         : 0.25          : 0.25
mouse           : 0.25          : 0.25
iealous         : 0.25          : 0.25
thither         : 0.25          : 0.25
saue            : 0.25          : 0.25
begin           : 0.25          : 0.25
bow             : 0.25          : 0.25
bold            : 0.25          : 0.25
sought          : 0.25          : 0.25
beautie         : 0.25          : 0.25
secret          : 0.25          : 0.25
master          : 0.25          : 0.25
spight          : 0.25          : 0.25
cords           : 0.25          : 0.25
tibalts         : 0.25          : 0.25
dog             : 0.25          : 0.25
hard            : 0.25          : 0.25
runne           : 0.25          : 0.25
bloud           : 0.25          : 0.25
hoare           : 0.25          : 0.25
ready           : 0.25          : 0.25
bridegroome     : 0.25          : 0.25
adue            : 0.25          : 0.25
mee             : 0.25          : 0.25
quiet           : 0.25          : 0.25
fray            : 0.25          : 0.25
seeke           : 0.25          : 0.25
harke           : 0.25          : 0.25
bitter          : 0.25          : 0.25
tree            : 0.25          : 0.25
gentlewoman     : 0.25          : 0.25
lent            : 0.25          : 0.25
quoth           : 0.25          : 0.25
wil             : 0.24          : 0.25
