Expected value: 1724.375
Variance: 862.1875
Standard deviation: 29.363029475856198

Mean absolute error: 62.375
Mean relative error: 3.62%
Mean accuracy ratio: 96.38%

Smallest counter value: 1662
Largest counter value: 1662

Mean counter value: 1662.0
Mean absolute deviation: 0.0
Standard deviation: 0.0
Maximum deviation: 0.0
Variance: 0.0

Mean Counter Values per Word:
Word : Counter Value : Expected Value
roxa            : 1.00          : 0.31
climas          : 1.00          : 0.19
agasalhados     : 1.00          : 0.38
africana        : 1.00          : 0.31
lassa           : 1.00          : 0.25
rota            : 1.00          : 0.31
dizia           : 1.00          : 1.31
razões          : 1.00          : 0.75
dando           : 1.00          : 1.62
passar          : 1.00          : 0.88
fortíssima      : 1.00          : 0.19
fosse           : 1.00          : 1.06
perder          : 1.00          : 0.38
celebra         : 1.00          : 0.06
indo            : 1.00          : 0.94
sojugado        : 1.00          : 0.19
fortuna         : 1.00          : 1.25
vaso            : 1.00          : 0.19
portugueses     : 1.00          : 1.31
navegam         : 1.00          : 0.19
bela            : 1.00          : 1.50
crê             : 1.00          : 0.38
causas          : 1.00          : 0.38
belígera        : 1.00          : 0.06
estende         : 1.00          : 0.88
honras          : 1.00          : 0.88
pretende        : 1.00          : 0.62
debatem         : 1.00          : 0.06
arvoredo        : 1.00          : 0.25
brama           : 1.00          : 0.06
obrigava        : 1.00          : 0.25
seguro          : 1.00          : 1.06
armado          : 1.00          : 0.31
puro            : 1.00          : 0.75
criaste         : 1.00          : 0.06
valia           : 1.00          : 0.50
alheia          : 1.00          : 0.38
mercúrio        : 1.00          : 0.31
ligeireza       : 1.00          : 0.06
reforme         : 1.00          : 0.06
cabeça          : 1.00          : 1.00
inclinando      : 1.00          : 0.12
fazendo         : 1.00          : 1.69
casa            : 1.00          : 0.81
banda           : 1.00          : 0.69
etiópica        : 1.00          : 0.06
levavam         : 1.00          : 0.19
receio          : 1.00          : 0.62
perigo          : 1.00          : 1.06
ilhas           : 1.00          : 0.88
lava            : 1.00          : 0.56
soberbo         : 1.00          : 0.94
altivo          : 1.00          : 0.25
companhia       : 1.00          : 1.69
pequenos        : 1.00          : 0.44
longo           : 1.00          : 1.31
alegria         : 1.00          : 1.31
causa           : 1.00          : 0.81
dela            : 1.00          : 1.38
costumes        : 1.00          : 0.75
palma           : 1.00          : 0.69
sente           : 1.00          : 0.44
panos           : 1.00          : 0.25
cores           : 1.00          : 1.06
derredor        : 1.00          : 0.38
junto           : 1.00          : 1.50
salta           : 1.00          : 0.44
ledos           : 1.00          : 0.44
humanamente     : 1.00          : 0.12
mesas           : 1.00          : 0.19
pôr             : 1.00          : 0.88
enjeitam        : 1.00          : 0.06
arábica         : 1.00          : 0.19
discretas       : 1.00          : 0.19
imos            : 1.00          : 0.19
calisto         : 1.00          : 0.19
visto           : 1.00          : 0.44
dum             : 1.00          : 1.56
leda            : 1.00          : 0.69
fronte          : 1.00          : 0.88
lago            : 1.00          : 0.62
mandado         : 1.00          : 0.50
navegamos       : 1.00          : 0.31
feios           : 1.00          : 0.06
verdade         : 1.00          : 1.62
nação           : 1.00          : 0.44
próprios        : 1.00          : 0.50
criou           : 1.00          : 0.19
natura          : 1.00          : 0.62
hebréia         : 1.00          : 0.06
escala          : 1.00          : 0.19
chama           : 1.00          : 1.44
mostras         : 1.00          : 0.56
cuidada         : 1.00          : 0.25
claros          : 1.00          : 0.25
campo           : 1.00          : 1.94
furiosos        : 1.00          : 0.25
escuras         : 1.00          : 0.12
vigiava         : 1.00          : 0.12
cabelos         : 1.00          : 0.56
alegres         : 1.00          : 0.56
festas          : 1.00          : 0.31
asianas         : 1.00          : 0.06
destino         : 1.00          : 0.38
constantino     : 1.00          : 0.12
ricas           : 1.00          : 0.31
peças           : 1.00          : 0.38
doce            : 1.00          : 2.12
linguagem       : 1.00          : 0.12
astuto          : 1.00          : 0.56
ventura         : 1.00          : 1.25
turquia         : 1.00          : 0.19
conforme        : 1.00          : 0.12
